4513267;CARNEIRAS PARA CAPACETES- BLOQUEADO;FORA DE PADRÃO;12/03/2019;12/03/2019
4543465;CARTUCHO,CONEC CUNHA,BRANCO,D71055.6;ESTOQUE;12/03/2019;12/03/2019
4543466;CARTUCHO,CONEC CUNHA,AZUL,D71054.6;ESTOQUE;12/03/2019;12/03/2019
4543467;CONECTOR,CUN,AL, 4/0TR/DR,D71054;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543468;"CARTUCHO,CONEC CUNHA;AMARELO;D71054.6";ESTOQUE;12/03/2019;12/03/2019
4543476;PO,SOLDA EXOTERM,CARTUCHO  90G,D82040.3;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543477;"PO,SOLDA EXOTERM;CARTUCHO 115G;D82040.3";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543478;"PO,SOLDA EXOTERM;CARTUCHO 150G;D82040.3";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543479;"PO,SOLDA EXOTERM;CARTUCHO 200G;D82040.3";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543480;"PO,SOLDA EXOTERM;CARTUCHO 250G;D82040.3";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543481;"MOLDE,SOLDA;HASTE 3/4;CABO CU 70MM2";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543482;CARTUCHO,SOLDA,90G  (SUBST 0340008);FORA DE PADRÃO;12/03/2019;12/03/2019
4543483;CARTUCHO,SOLDA,115G (SUBST 0340009);FORA DE PADRÃO;12/03/2019;12/03/2019
4543486;"MOLDE,SOLDA;HCT 3/4 70-3 (115)";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543487;"CARTUCHO,SOLDA;200G (SUBST 0340011)";FORA DE PADRÃO;12/03/2019;12/03/2019
4543488;"ELETRODO,SOLDA OK 46.00;D=3,25MM;EMB LAT";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543490;"SAPATILHA,AZ;CORD ACO;6,4MM;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543495;ALCA,DISTRIB, 3/0AWG,CA,D73002,FPM;FORA DE PADRÃO;12/03/2019;12/03/2019
4543508;"LACO,PREF DIST;CU;25MM2;ISOL 80MM (FP)";FORA DE PADRÃO;12/03/2019;12/03/2019
4543513;"LACO,PREF;DIST;CAA  4AWG ISOL 80MM (FP)";FORA DE PADRÃO;12/03/2019;12/03/2019
4543514;"LACO,PREF;DIST;CAA 1/0AWG;ISOL 80MM (FP)";FORA DE PADRÃO;12/03/2019;12/03/2019
4543523;"LACO,PREF;LAT DUP;CAA 1/0AWG;ISOL 80MMFP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543526;"LACO,PREF;LAT DUP;CAA 266.8;ISOL 80MM FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543534;"REPARO,AGS;CA 336,4MCM;19 FIOS;D-73030.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543535;"REPARO,AGS;CA 556,5;19F;D-73030.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543543;"PROTETOR,PREF;LINHA;CABO CAA;4AWG";FORA DE PADRÃO;12/03/2019;12/03/2019
4543545;"PROTETOR,PREF;LINHA;CABO CAA;266,8MCM";FORA DE PADRÃO;12/03/2019;12/03/2019
4543557;COBERTURA,PROT,BT,CU25MM2-CA4,D22030.0;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543558;"COBERTURA,PROT;BT;CU35MM2-CA2;D22030.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543559;"COBERTURA,PROT;BT;CU50MM2-CA1/0;D22030.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543560;"COBERTURA,PROT;BT;CU70MM2-CA2/0;D22030.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543561;"COBERTURA,PROT;BT;CU95MM2-CA3/0;D22030.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543562;BOTA,SEG,BORRACHA,PRETA,45,EMS05;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543563;BOLSA,UC,LONA 10,CINZA,320X360X90,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
